
Motivation_lines,Quotes_category,Images_src
Life is short but there is always time enough for courtesy.,COURTESY,https://assets.passiton.com/quotes/quote_artwork/8119/medium/20230313_monday_quote.jpg
Believe you can and you're halfway there.,BELIEVE,https://assets.passiton.com/quotes/quote_artwork/6886/medium/20230310_friday_quote.jpg
Sometimes your only available transportation is a leap of faith.,BELIEVE,https://assets.passiton.com/quotes/quote_artwork/6817/medium/20230308_wednesday_quote.jpg
"Accept what is, let go of what was, and have faith in what will be.",BELIEVE,https://assets.passiton.com/quotes/quote_artwork/6986/medium/20230307_tuesday_quote.jpg
Nurture your minds with great thoughts. To believe in the heroic makes heroes.,BELIEVE,https://assets.passiton.com/quotes/quote_artwork/6182/medium/20230306_monday_quote.jpg
"If it wasn't hard, everyone would do it. It's the hard that makes it great.",HARD WORK,https://assets.passiton.com/quotes/quote_artwork/3549/medium/20230303_friday_quote.jpg
"Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or leading to do.",HARD WORK,https://assets.passiton.com/quotes/quote_artwork/7985/medium/20230302_thursday_quote.jpg
Attempt the impossible in order to improve your work.,HARD WORK,https://assets.passiton.com/quotes/quote_artwork/3284/medium/20230301_wednesday_quote.jpg
Success isn't always about greatness. It's about consistency. Consistent hard work leads to success. Greatness will come.,HARD WORK,https://assets.passiton.com/quotes/quote_artwork/7893/medium/20230228_tuesday_quote.jpg
Doing the best at this moment puts you in the best place for the next moment.,HARD WORK,https://assets.passiton.com/quotes/quote_artwork/8378/medium/20230227_monday_quote.jpg
"A real leader uses every issue, no matter how serious and sensitive, to ensure that at the end of the debate we should emerge stronger and more united than ever before.",LEADERSHIP,https://assets.passiton.com/quotes/quote_artwork/8377/medium/20230224_friday_quote.jpg
A leader is someone willing to give their strength to others so that they may have the strength to stand on their own.,LEADERSHIP,https://assets.passiton.com/quotes/quote_artwork/7733/medium/20230223_thursday_quote.jpg
"I will not follow where the path may lead, but I will go where there is no path, and I will leave a trail.",LEADERSHIP,https://assets.passiton.com/quotes/quote_artwork/4579/medium/20230222_wednesday_quote.jpg
